S. No.,Name of State Road Transport Undertaking (SRTU),Central Govt Contribution (in lakh) - 2018-19,Central Govt Equity (if any) (in lakh) - 2017-18,Central Govt Equity (if any) (in lakh) - 2016-17,State Govt Contribution (In lakh) - 2018-19,State Govt Contribution (In lakh) - 2017-18,State Govt Contribution (In lakh) - 2016-17,General and Other Reserves (in lakh) - 2018-19,General and Other Reserves (in lakh) - 2017-18,General and Other Reserves (in lakh) - 2016-17,Debentures (in lakh) - 2018-19,Debentures (in lakh) - 2017-18,Debentures (in lakh) - 2016-17,Loans from Banks and Financial Institutions (in lakh) - 2018-19,Loans from Banks and Financial Institutions (in lakh) - 2017-18,Loans from Banks and Financial Institutions (in lakh) - 2016-17,Employee and Public Deposits (in lakh) - 2018-19,Employee and Public Deposits (in lakh) - 2017-18,Employee and Public Deposits (in lakh) - 2016-17,Security and earnest Money deposits (in lakh) - 2018-19,Security and earnest Money deposits (in lakh) - 2017-18,Security and earnest Money deposits (in lakh) - 2016-17,Others (in lakh) - 2018-19,Others (in lakh) - 2017-18,Others (in lakh) - 2016-17,Total Capital and Liablities - 2018-19,Total Capital and Liablities - 2017-18,Total Capital and Liablities - 2016-17
1,Andhra Pradesh SRTC,3562,3562,3562,7953,7953,7953,810967,794098,763371,0,0,0,414838,366113,328790,0,0,0,25087,20297,18243,634540,574274,761891,1896947,1766297,1883810
2,Assam STC,NA,377.58,798.67,74229.35,72086.57,71709.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375.22,367.92,218.88,NA,NA,NA,74604.57,72832.07,72726.68
3,Bangalore Metropolitan TC,NA,NA,NA,15771.73,18165.57,21841.73,166902.14,129994.22,128503.04,0,0,0,81140.82,102533.96,61656.46,0,0,0,4276.85,4594.76,4436.53,100582.89,74462.34,58456.64,368674.43,329750.85,274894.4
4,Bihar SRTC,2652,2652,2652,7476,7476,7476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10128,10128,10128
5,Delhi TC,0,0,0,198385,198385,198385,188109.51,171839.78,154547.4,NA,NA,NA,1167614.46,1167614.46,1167614.46,NA,NA,NA,1912.18,1640.88,1415.26,2664503.73,2175281.09,1719615.94,4220524.88,3714761.21,3241578.06
6,Gujarat SRTC,10627.81,10627.81,10627.81,331795.29,310346.23,252963.15,1626.08,1634.09,1642.27,0,0,0,314802.3,303535.8,289348.33,12003.41,10004.54,9220.75,7836.33,5712.09,6463.78,43893.18,41368.03,40140.33,722584.4,683228.59,610406.42
7,Himachal RTC,1544,1544,1544.45,76405,70505,65504.71,55318,49634,46785.44,0,0,0,13433,20125,21135.16,0,NA,16648.23,337,406,361.8,77058,64131,34368.34,224095,206345,186348.13
8,Jammu and Kashmir SRTC,449,150,223,1790,375,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2239,525,723
9,Karnataka SRTC ,4809.76,4809.76,4809.76,24278.94,24278.94,24278.94,26409.36,21591.59,19973.36,0,0,0,25223,28237.96,15768.94,0,0,0,20091.07,16930.1,12000.68,191781.15,183801.97,169494.21,292593.28,279650.32,246325.89
10,Kerala SRTC,NA,NA,NA,79125,79125,79125,NA,NA,NA,NA,NA,NA,302400,310000,284404,NA,NA,NA,NA,NA,NA,892279,1009230,487436,1273804,1398355,850965
