S. No.,Group
Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) 
Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) 
Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Depreciation Cost per Revenue Earning Km(Rs./Rev. Earning Kms) 
Payments to Hired Buses per Revenue Earning Km ((Rs./Rev. Earning Kms) - 2018-19,Payments to Hired Buses per Revenue Earning Km ((Rs./Rev. Earning Kms) 
Payments to Hired Buses per Revenue Earning Km (Rs./Rev. Earning Kms) - 2017-18,Payments to Hired Buses per Revenue Earning Km (Rs./Rev. Earning Kms) 
Payments to Hired Buses per Revenue Earning Km (Rs./Rev. Earning Kms) - 2016-17,Payments to Hired Buses per Revenue Earning Km (Rs./Rev. Earning Kms) 
Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) 
Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) 
Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Payment for accidents compensation per Revenue Earning Km(Rs./Rev. Earning Kms) 
Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) 
Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) 
Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Tax Cost per Revenue Earning Km(Rs./Rev. Earning Kms) 
Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) - 2018-19,Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) 
Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) - 2017-18,Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) 
Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) - 2016-17,Other Costs per Revenue Earning Km(Rs./Rev. Earning Kms) 
