S. No.,Name of State Road Transport Undertaking (SRTU),Total Revenue (Rs. Lakh) - 2011-12,Total Revenue (Rs. Lakh) - 2012-13,Total Revenue (Rs. Lakh) - 2013-14,Total Revenue (Rs. Lakh) - 2014-15,Total Revenue (Rs. Lakh) - 2015-16,Total Cost (Rs. Lakh) - 2011-12,Total Cost (Rs. Lakh) - 2012-13,Total Cost (Rs. Lakh) - 2013-14,Total Cost (Rs. Lakh) - 2014-15,Total Cost (Rs. Lakh) - 2015-16,Net Profit/Loss (Rs. Lakh) - 2011-12,Net Profit/Loss (Rs. Lakh) - 2012-13,Net Profit/Loss (Rs. Lakh) - 2013-14,Net Profit/Loss (Rs. Lakh) - 2014-15,Net Profit/Loss (Rs. Lakh) - 2015-16
33,Rajasthan SRTC,139862.58,144331.97,161045.08,183378.62,171584.89,152874.2,177995.9,203783.03,239242.71,222150.68,-13011.62,-64840.65,-42737.95,-55864.09,-50565.79
34,Sikkim NT,NA,2901,3410,3092,3846.96,NA,3661,3964,4113.26,4561.68,NA,-760,-554,-1021.26,-714.72
35,Solapur MT,NA,NA,1917.68,1874.44,3566.31,NA,NA,2685.07,2595.88,4150.02,NA,NA,-767.39,-721.44,-583.71
36,South Bengal STC,12495.95,12407.31,14136.44,15817.79,17053.95,16234.04,16574.55,18555.83,20749.62,21151.04,-3738.09,-4167.24,-4419.39,-4931.83,-4097.09
37,State Exp.TC TN Ltd.,36912.57,50753.62,61943.84,65435.35,63400.65,53603.16,64228.91,75115.96,85000.9,79107.34,-16690.59,-13475.29,-13172.12,-19565.55,-15706.69
38,Telangana SRTC,NA,NA,374292.87,399084.21,409563.87,NA,NA,395192.48,439226.57,479746.16,NA,NA,-20899.61,-40142.36,-70182.29
39,Thane MT,NA,7005.11,8074.64,7902.44,7983.78,NA,9590.81,10415.1,12848.15,9883.47,NA,-2585.7,-2340.46,-4945.71,-1899.69
40,TN STC (Coimbatore) Ltd.,92030.81,113779.64,123538.63,130094.65,124395.75,123075.92,130548.54,144411.17,164880.68,160917.82,-31045.11,-16768.9,-20872.54,-34786.03,-36522.07
41,TN STC (Kumbakonam) Ltd.,112116.41,145906.22,157915.86,160257.43,157591.41,138379.58,154121.2,172382.43,199353.01,196452.94,-26263.17,-8214.98,-14466.57,-39095.58,-38861.53
42,TN STC (Madurai) Ltd.,80641.03,99484.78,105100.23,106922.83,101324.05,98422.04,105415.79,116236,136609.29,128724.9,-17781.01,-5931.01,-11135.77,-29686.46,-27400.85
43,TN STC (Salem) Ltd.,65100.77,82270.52,86743.19,94640.19,89407.83,84203.22,91950.94,102800.94,108156.21,113634.89,-19102.45,-9680.42,-16057.75,-13516.02,-24227.06
44,TN STC (Villupuram) Ltd.,114823.37,142883,153204.52,156357.86,154212.48,135713.48,147791.43,166326.28,189776.4,184704.77,-20890.11,-4908.43,-13121.76,-33418.54,-30492.29
45,Tripura RTC,1710,1900,330.07,1581.61,1952.72,2814,3175,1890.26,1642.56,1992.18,-1104,-1275,-1560.19,-60.95,-39.46
46,Uttar Pradesh SRTC,232398.32,252935.8,296793.42,327524.22,338491.89,235855.47,261195.82,309947.34,327128.07,337564.61,-3457.15,-8260.02,-13153.92,396.15,927.28
47,Uttarakhand TC,NA,33714.68,39516.07,43349.94,45886.25,NA,36249.48,43315.27,46843.59,46943.85,NA,-2534.8,-3799.2,-3493.65,-1057.6
Total (Reporting SRTUs),Total (Reporting SRTUs),3726182.26,4177809.22,5064633.49,5093402.18,5174834.32,4405528.97,4912151.5,6082446.73,6284591.63,6437709.19,-679346.71,-765519,-1017813.24,-1058797.88,-1134978.32
