Particulars,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12
Railway Density: Train Kilometres per Running Track: Suburban,44.00,46.10,41.70,39.90,41.90,41.50,42.30,43.80,46.70,46.40
Railway Density: Train Kilometres per Running Track: Non Suburban,15.20,15.20,15.50,16.20,15.30,16.50,17.40,18.40,19.20,19.40
