State/UT,City,Charging stations 
Delhi,Delhi,15
Maharashtra,Navi Mumbai,1
Maharashtra,Nagpur,7
Tamil Nadu,Chennai,8
Kerala,Thrissur,8
Kerala,Ernakulum,6
Kerala,Kannur,2
Gujarat,Ahmedabad,2
Karnataka,Bangalore,1
Madhya Pradesh,Indore,2
Rajasthan,Jaipur,1
Total,Total,53
