State,National Waterway Number,Length (km),Details of Waterways
Andhra Pradesh,National Waterway 79,28,Pennar River
Tamil Nadu,National Waterway 80,126,Ponniyar River
Bihar,National Waterway 81,35,Punpun River
Assam,National Waterway 82,58,Puthimari River
Maharashtra,National Waterway 83,31,Rajpuri Creek
"Jammu & Kashmir, Himachal Pradesh & Punjab",National Waterway 84,44,Ravi River
Maharashtra,National Waterway 85,31,Revadanda Creek - Kundalika River System
West Bengal,National Waterway 86,72,Rupnarayan River
Gujarat,National Waterway 87,210,Sabarmati River
Goa,National Waterway 88,14,Sal River
Maharashtra,National Waterway 89,45,Savitri River (Bankot Creek)
Karnataka,National Waterway 90,29,Sharavati River
Maharashtra,National Waterway 91,52,Shastri River - Jaigad Creek System
West Bengal,National Waterway 92,26,Silabati River
Meghalaya,National Waterway 93,63,Simsang River
Bihar,National Waterway 94,141,Sone River
Assam,National Waterway 95,106,Subansiri River
"Jharkhand, West Bengal & Odisha",National Waterway 96,311,Subarnrekha River
West Bengal,National Waterway 97,172,Sunderbans Waterway
West Bengal,National Waterway 97,56,Bidya River
West Bengal,National Waterway 97,15,ChhotaKalagachi (ChhotoKalergachi) River
West Bengal,National Waterway 97,7,Gomar River
West Bengal,National Waterway 97,16,Haribhanga River
West Bengal,National Waterway 97,37,Hogla (Hogal)-Pathankhali River
West Bengal,National Waterway 97,9,Kalindi (Kalandi) River
West Bengal,National Waterway 97,22,Katakhali River
West Bengal,National Waterway 97,99,Matla River
West Bengal,National Waterway 97,28,Muri Ganga (Baratala) River
West Bengal,National Waterway 97,53,Raimangal River
West Bengal,National Waterway 97,14,Sahibkhali (Sahebkhali) River
West Bengal,National Waterway 97,37,Saptamukhi River
West Bengal,National Waterway 97,64,Thakurran River
Himachal Pradesh & Punjab,National Waterway 98,377,Sutlej River
Tamil Nadu,National Waterway 99,62,Tamaraparani River
Maharashtra & Gujarat,National Waterway 100,436,Tapi River
Nagaland,National Waterway 101,42,Tizu - Zungki Rivers
Assam & Mizoram,National Waterway 102,87,Tlwang (Dhaleswari River)
Uttar Pradesh,National Waterway 103,73,Tons River
"Karnataka, Telangana & Andhra Pradesh",National Waterway 104,232,Tungabhadra River
Karnataka,National Waterway 105,15,Udayavara River
Meghalaya,National Waterway 106,20,Umngot (Dawki) River
Tamil Nadu,National Waterway 107,46,Vaigai River
Uttar Pradesh,National Waterway 108,53,Varuna River
Maharashtra &Telangana,National Waterway109,166,Wainganga - Pranahita River System
"Delhi, Haryana & Uttar Pradesh",National Waterway 110,1080,Yamuna River
Goa,National Waterway 111,50,Zuari River
NA,Total,20162.5,NA
