S. No.,Name of State Road Transport Undertaking (SRTU),Average Fleet Held (Number) - 2016-17,Average Fleet Held (Number) - 2017-18,Average Fleet Held (Number) - 2018-19,Average Age of Fleet (Years) - 2016-17,Average Age of Fleet (Years) - 2017-18,Average Age of Fleet (Years) - 2018-19,Staff Strength (Number) - 2016-17,Staff Strength (Number) - 2017-18,Staff Strength (Number) - 2018-19,Fuel Efficiency (Km/litre of HSD) or (KM/KG of CNG) - 2016-17,Fuel Efficiency (Km/litre of HSD) or (KM/KG of CNG) - 2017-18,Fuel Efficiency (Km/litre of HSD) or (KM/KG of CNG) - 2018-19,Passenger Kms Performed (Lakhs) - 2016-17,Passenger Kms Performed (Lakhs) - 2017-18,Passenger Kms Performed (Lakhs) - 2018-19,Passenger Carried (Lakhs) - 2016-17,Passenger Carried (Lakhs) - 2017-18,Passenger Carried (Lakhs) - 2018-19
11,Maharashtra SRTC,18710,18652,18796,5.5,6.3,7.1,103043,101196,101879,4.77,4.72,4.57,615701,624445,610514,24438,24446.25,24078.48
12,Meghalaya STC,52,61,62,7.21,7,8,260,251,221,5.4,5.12,5.01,457.27,409.09,440.78,4,2.17,2.52
13,North Bengal STC,805,868,905,6.29,6.48,6.48,3709,3226,3300,4.25,4.13,4.26,18655.12,19930.76,22964.26,0,0,0
14,North Eastern Karnataka RTC,4384.84,4501.1,4788.9,5.64,4.91,4.63,20577,20218,20574,5.17,5.2,5.25,158522.46,169419.03,182143.42,4928,4934.8,4945.75
15,North Western Karnataka RTC,4801.9,4999.4,4990.1,6.6,6.59,7.31,24321,23707,23665,5.18,5.16,5.12,174741,184318,193067,8256,8212.5,8205.2
16,Odisha SRTC,455,443,441,9,4.82,5.12,1651,1582,1538,4.72,4.74,4.81,17663.88,12154.49,12201.57,71,70.89,71.7
17,Pepsu RTC,1067,1142,1138,8,8,8,3658,4149,4247,4.65,4.68,4.69,1300,1300,1300,0,0.28,0.28
18,Rajasthan SRTC,4635,5444,5295,5.26,5.43,6.31,17844,16565,15279,5.06,5.1,5.03,284702.25,303055.69,266449.26,3185,3420.77,3106.89
19,South Bengal STC,721,796,898,5.43,5.65,6.24,2042,2316,2793,4.29,4.02,4.59,18234.53,21356.5,26304.75,148,172,214
20,Telangana SRTC,10415,10558,10481,7.44,6.9,7.66,54117,52507,50656,NA,NA,NA,432217.97,456223.67,474111.04,31894,34291.75,35605.75
21,Tripura RTC,16,14,10,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0
22,Uttar Pradesh SRTC (P),10780,12143,11880,4.53,5.43,5.7,23487,22633,21156,5.24,5.25,5.23,445728,483664,472042,5646,6257.93,6015.69
23,Uttarakhand  TC,1242,1297,1338,6.5,6.5,7.5,4506,4339,3450,4.76,4.85,NA,1396.65,1552.42,1438.26,368,405.54,377.83
24,West Bengal Transport Corp.,831,1153,1187,5.77,3.73,4.57,4647,4361,4018,2.04,1.97,1.94,8272,8249,8898,986,947,1023
NA,TOTAL Corporations,108593.74,111371.9,112706.1,6.78,6.43,6.96,517482,505795,493682,4.53,4.5,4.51,4084887.56,4278766.01,4314977.21,161656,163720.11,161889
25,Kadamba TC Ltd.,530,520,548,5.16,5.61,4.19,2023,2077,2153,4.13,4.1,4.07,9386.34,10620.32,11627.98,342,354.01,387.6
26,Metro TC (Chennai) Limited,4002,3848,3688,7.08,7.96,8.67,24326,23688,22962,4.5,4.5,4.51,189176,165039,135246,17184,15186,12980
27,PUNBUS,1218,1258,1395,7,7,7,4108,4098,3850,4.54,4.62,4.6,1361.45,1481.9,1533,1500,1551.25,1642.5
28,State Exp.TC TN Ltd.,1184,1167,1149,5.03,6.02,6.03,6349,5910,5495,5.24,5.23,5.17,81315.46,76844.09,61405.19,273,265.22,229.14
29,TN STC (Coimbatore) Ltd.,3245,3116,3066,6.88,7.21,6.86,18948,18597,17709,5.18,5.12,5.11,180075.85,225081.87,209756,9021,8844.35,7601.93
30,TN STC (Kumbakonam) Ltd.,3718,3616,3589,7.01,7.86,7.06,23527,23099,21985,5.68,5.69,5.73,276075.91,269524.36,231117.27,10488,10179.26,8859.03
31,TN STC (Madurai) Ltd.,2593,2477,2262,6.46,7.21,7.46,15089,14880,14266,5.39,5.36,5.31,189145.61,183162.62,174056.37,6104,6121.07,5059.48
32,TN STC (Salem) Ltd.,2222,2222,2497,7.5,8.35,7.5,13516,13348,12743,5.58,5.64,5.64,177304.27,173191.32,151731.06,5562,5559.65,4622.79
33,TN STC (Villupuram) Ltd.,3596,3502,3437,7,7.77,6.96,24094,23361,22412,5.61,5.61,5.6,299523,290099,251291,7819,8858.07,7061.16
34,TN STC ( Tirunelvell) Ltd.,1897,1839,1775,6.35,6.95,7.09,11839,11620,11085,5.15,5.16,5.19,140364.42,138569.95,112541.1,6673,6352.4,5578.28
NA,TOTAL Companies,24205,23565,23406,6.55,7.19,6.88,143819,140678,134660,5.1,5.1,5.09,1543728.31,1533614.43,1340304.97,64967,63271.28,54021.91
37,Andaman & Nicobar ST,268,284,284,7.48,8.65,9.14,1151,1162,1166,3.65,3.57,3.65,174.22,192.63,214.89,108,111.62,121.12
38,Arunachal Pradesh ST,192,219,237,9.32,10.03,12.14,796,790,791,NA,NA,NA,80.26,90.09,93.13,0,0,0
39,Chandigarh TU,565,550,534,5.85,5.08,4.74,1779,1917,1965,3.76,3.74,3.86,14104.96,13414.4,12149,569,568.1,554.8
40,Haryana ST,4145,4063,3951,4.37,4.75,5.11,16968,16004,19663,4.75,4.74,4.73,158216,145915,142586,4459,3993.74,4286.16
41,Mizoram ST,49,42,37,8,7,8,333,287,262,3.2,3.2,3.2,127.89,115.36,153.43,1,0.52,0.66
42,Nagaland ST,216,249,250,7.78,7.78,7.78,1050,1050,1050,3.3,3.19,3.22,32.45,24.67,25.75,6,4.7,5.72
43,State Transport Punjab,605,602,476,7,7,7,0,2943,2713,NA,4.52,4.54,0,350.4,248.2,0,602.25,547.5
44,Sikkim NT ,122,122,120,6.38,7.81,6.95,680,798,1313,4.12,3.72,3.8,549.78,583,588.28,11,11.31,12.22
NA,Total Govt Deptts.,6162,6131,5889,7.02,7.26,7.61,22757,24951,28923,3.8,3.81,3.86,173285.56,160685.55,156058.68,5154,5292.24,5528.18
43,Ahemdabad Janmarg Ltd,250,254,253,4.5,5.5,6.5,0,0,0,2.5,2.3,2.1,169.15,158.24,161.07,451,459.16,519.75
44,Ahmedabad MTC ,910,866,754,5.3,3.35,3.98,5365,5327,5102,3.22,NA,NA,16282.48,14058.77,15083.09,2094,1806.97,1954.36
45,BEST Undertaking,3844,3661,3322,9.51,9.79,10.46,32590,30971,29045,2.67,2.67,2.67,70275,63816,53000,10343,9563,8068
46,Kolhapur MTU,129,129,129,7.6,6.55,7.11,944,881,815,3.98,3.8,3.77,2953.78,3120.47,2796.07,222,231.8,190.03
47,Navi Mumbai MT,336,386,391,NA,NA,NA,1166,1138,1116,3.1,3,2.95,203.86,219.67,222.3,485,515.33,518.41
48,Pune Mahamandal ,2045,1961,2058,9.02,8.07,8.08,9656,9311,9587,3.14,3.1,3.31,41496.51,45186.54,43041.5,3939,3975.61,3725.08
49,Sholapur MT,90,75,50,NA,NA,NA,469,433,315,NA,NA,NA,50.49,31.69,23.8,111,80.74,46.07
50,Thane MT,393,482,473,7,6,5,2995,2977,2898,2.15,2.05,2.07,0,0,0,470,641.2,644.85
51,Kalyan Dombivali MT,169,216,216,3.27,3.95,4.95,560,498,558,3.34,3.28,3.26,1864.16,1703.11,1452.6,147,145.64,128.07
NA,Total Muncipal undertakings,8166,8030,7646,6.6,6.17,6.58,53745,51536,49436,3.01,2.89,2.88,133295.43,128294.49,115780.43,18262,17419.45,15794.62
52,DELHI INTEGRATED MTS,1552,1648,1679,0,0,0,0,0,0,0,0,0,49152.98,59179.47,65882.26,3743,4250.79,4469.31
NA,Total Associate members,1552,1648,1679,0,0,0,0,0,0,0,0,0,49152.98,59179.47,65882.26,3743,4250.79,4469.31
53,Agra - Mathura City TSL,230,230,230,8,9,10,540,567,586,5.64,5.72,5.59,99.91,103.72,106.79,90,93.95,81.77
54,Jaipur City TS Ltd.,408,508,405,5.11,5.62,6.04,1119,1119,1195,2.97,2.82,2.96,193.9,161.77,214.89,2,1.49,1.71
55,MEERUT CITY TSL,126,126,126,7,8,9,453,454,445,4.5,4.4,4.4,75,73,72,103,102,96
56,KANPUR CITY TSL,270,270,270,7,8,9,241,258,305,NA,NA,NA,69.08,73.87,77.44,85,70.14,59.27
NA,Total Special Purpose Vehicle,1034,1134,1031,6.78,7.66,8.51,2353,2398,2531,4.37,4.31,4.32,437.89,412.36,471.12,280,267.58,238.75
NA,Total (Reporting SRTUs),149713,151880,152357,6.62,6.64,6.98,740156,725358,709232,4.21,4.19,4.19,5984787.73,6160952.31,5993474.67,254060,254221.45,241941.76
